id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
41001-polid-1746-state-1,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,,Hillary,False,False,False,Clinton,2016-02-28T06:39:11Z,state,True,P,President,Dem,1746,44200,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,271514,0.734763,True
41001-polid-1445-state-1,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,,Bernie,False,False,False,Sanders,2016-02-28T06:39:11Z,state,True,P,President,Dem,1445,44201,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,95977,0.25973,False
41001-polid-64569-state-1,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,,Willie,False,False,False,Wilson,2016-02-28T06:39:11Z,state,True,P,President,Dem,64569,44220,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,1321,0.003575,False
41001-polid-22603-state-1,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,,Martin,False,False,False,O'Malley,2016-02-28T06:39:11Z,state,True,P,President,Dem,22603,44202,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,714,0.001932,False
41001-polid-1746-county-41001,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45001,Hillary,False,False,False,Clinton,2016-02-28T01:54:13Z,county,True,P,President,Dem,1746,44200,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,1501,0.81843,True
41001-polid-1445-county-41001,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45001,Bernie,False,False,False,Sanders,2016-02-28T01:54:13Z,county,True,P,President,Dem,1445,44201,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,312,0.17012,False
41001-polid-64569-county-41001,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45001,Willie,False,False,False,Wilson,2016-02-28T01:54:13Z,county,True,P,President,Dem,64569,44220,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,15,0.008179,False
41001-polid-22603-county-41001,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45001,Martin,False,False,False,O'Malley,2016-02-28T01:54:13Z,county,True,P,President,Dem,22603,44202,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,6,0.003272,False
41001-polid-1746-county-41002,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45003,Hillary,False,False,False,Clinton,2016-02-28T02:09:36Z,county,True,P,President,Dem,1746,44200,84,100.0,84,county-41002,Aiken,False,,,South Carolina,SC,False,False,6888,0.702284,True
41001-polid-1445-county-41002,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45003,Bernie,False,False,False,Sanders,2016-02-28T02:09:36Z,county,True,P,President,Dem,1445,44201,84,100.0,84,county-41002,Aiken,False,,,South Carolina,SC,False,False,2870,0.292618,False
41001-polid-64569-county-41002,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45003,Willie,False,False,False,Wilson,2016-02-28T02:09:36Z,county,True,P,President,Dem,64569,44220,84,100.0,84,county-41002,Aiken,False,,,South Carolina,SC,False,False,32,0.003263,False
41001-polid-22603-county-41002,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45003,Martin,False,False,False,O'Malley,2016-02-28T02:09:36Z,county,True,P,President,Dem,22603,44202,84,100.0,84,county-41002,Aiken,False,,,South Carolina,SC,False,False,18,0.001835,False
41001-polid-1746-county-41003,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45005,Hillary,False,False,False,Clinton,2016-02-28T01:20:22Z,county,True,P,President,Dem,1746,44200,8,100.0,8,county-41003,Allendale,False,,,South Carolina,SC,False,False,1022,0.908444,True
41001-polid-1445-county-41003,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45005,Bernie,False,False,False,Sanders,2016-02-28T01:20:22Z,county,True,P,President,Dem,1445,44201,8,100.0,8,county-41003,Allendale,False,,,South Carolina,SC,False,False,95,0.084444,False
41001-polid-64569-county-41003,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45005,Willie,False,False,False,Wilson,2016-02-28T01:20:22Z,county,True,P,President,Dem,64569,44220,8,100.0,8,county-41003,Allendale,False,,,South Carolina,SC,False,False,5,0.004444,False
41001-polid-22603-county-41003,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45005,Martin,False,False,False,O'Malley,2016-02-28T01:20:22Z,county,True,P,President,Dem,22603,44202,8,100.0,8,county-41003,Allendale,False,,,South Carolina,SC,False,False,3,0.002667,False
41001-polid-1746-county-41004,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45007,Hillary,False,False,False,Clinton,2016-02-28T02:18:48Z,county,True,P,President,Dem,1746,44200,80,100.0,80,county-41004,Anderson,False,,,South Carolina,SC,False,False,5550,0.668514,True
41001-polid-1445-county-41004,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45007,Bernie,False,False,False,Sanders,2016-02-28T02:18:48Z,county,True,P,President,Dem,1445,44201,80,100.0,80,county-41004,Anderson,False,,,South Carolina,SC,False,False,2691,0.324139,False
41001-polid-64569-county-41004,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45007,Willie,False,False,False,Wilson,2016-02-28T02:18:48Z,county,True,P,President,Dem,64569,44220,80,100.0,80,county-41004,Anderson,False,,,South Carolina,SC,False,False,42,0.005059,False
41001-polid-22603-county-41004,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45007,Martin,False,False,False,O'Malley,2016-02-28T02:18:48Z,county,True,P,President,Dem,22603,44202,80,100.0,80,county-41004,Anderson,False,,,South Carolina,SC,False,False,19,0.002289,False
41001-polid-1746-county-41005,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45009,Hillary,False,False,False,Clinton,2016-02-28T01:38:49Z,county,True,P,President,Dem,1746,44200,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,1715,0.882656,True
41001-polid-1445-county-41005,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45009,Bernie,False,False,False,Sanders,2016-02-28T01:38:49Z,county,True,P,President,Dem,1445,44201,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,204,0.104992,False
41001-polid-64569-county-41005,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45009,Willie,False,False,False,Wilson,2016-02-28T01:38:49Z,county,True,P,President,Dem,64569,44220,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,18,0.009264,False
41001-polid-22603-county-41005,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45009,Martin,False,False,False,O'Malley,2016-02-28T01:38:49Z,county,True,P,President,Dem,22603,44202,14,100.0,14,county-41005,Bamberg,False,,,South Carolina,SC,False,False,6,0.003088,False
41001-polid-1746-county-41006,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45011,Hillary,False,False,False,Clinton,2016-02-28T01:08:05Z,county,True,P,President,Dem,1746,44200,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,1560,0.874439,True
41001-polid-1445-county-41006,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45011,Bernie,False,False,False,Sanders,2016-02-28T01:08:05Z,county,True,P,President,Dem,1445,44201,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,209,0.117152,False
41001-polid-64569-county-41006,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45011,Willie,False,False,False,Wilson,2016-02-28T01:08:05Z,county,True,P,President,Dem,64569,44220,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,10,0.005605,False
41001-polid-22603-county-41006,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45011,Martin,False,False,False,O'Malley,2016-02-28T01:08:05Z,county,True,P,President,Dem,22603,44202,15,100.0,15,county-41006,Barnwell,False,,,South Carolina,SC,False,False,5,0.002803,False
41001-polid-1746-county-41007,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45013,Hillary,False,False,False,Clinton,2016-02-28T02:46:22Z,county,True,P,President,Dem,1746,44200,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,9945,0.733029,True
41001-polid-1445-county-41007,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45013,Bernie,False,False,False,Sanders,2016-02-28T02:46:22Z,county,True,P,President,Dem,1445,44201,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,3567,0.262917,False
41001-polid-64569-county-41007,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45013,Willie,False,False,False,Wilson,2016-02-28T02:46:22Z,county,True,P,President,Dem,64569,44220,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,31,0.002285,False
41001-polid-22603-county-41007,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45013,Martin,False,False,False,O'Malley,2016-02-28T02:46:22Z,county,True,P,President,Dem,22603,44202,92,100.0,92,county-41007,Beaufort,False,,,South Carolina,SC,False,False,24,0.001769,False
41001-polid-1746-county-41010,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45017,Hillary,False,False,False,Clinton,2016-02-28T01:38:49Z,county,True,P,President,Dem,1746,44200,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,1536,0.860504,True
41001-polid-1445-county-41010,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45017,Bernie,False,False,False,Sanders,2016-02-28T01:38:49Z,county,True,P,President,Dem,1445,44201,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,241,0.135014,False
41001-polid-64569-county-41010,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45017,Willie,False,False,False,Wilson,2016-02-28T01:38:49Z,county,True,P,President,Dem,64569,44220,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,4,0.002241,False
41001-polid-22603-county-41010,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45017,Martin,False,False,False,O'Malley,2016-02-28T01:38:49Z,county,True,P,President,Dem,22603,44202,12,100.0,12,county-41010,Calhoun,False,,,South Carolina,SC,False,False,4,0.002241,False
41001-polid-1746-county-41011,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45019,Hillary,False,False,False,Clinton,2016-02-28T02:03:26Z,county,True,P,President,Dem,1746,44200,182,100.0,182,county-41011,Charleston,False,,,South Carolina,SC,False,False,26535,0.660354,True
41001-polid-1445-county-41011,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45019,Bernie,False,False,False,Sanders,2016-02-28T02:03:26Z,county,True,P,President,Dem,1445,44201,182,100.0,182,county-41011,Charleston,False,,,South Carolina,SC,False,False,13420,0.333972,False
41001-polid-64569-county-41011,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45019,Willie,False,False,False,Wilson,2016-02-28T02:03:26Z,county,True,P,President,Dem,64569,44220,182,100.0,182,county-41011,Charleston,False,,,South Carolina,SC,False,False,147,0.003658,False
41001-polid-22603-county-41011,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45019,Martin,False,False,False,O'Malley,2016-02-28T02:03:26Z,county,True,P,President,Dem,22603,44202,182,100.0,182,county-41011,Charleston,False,,,South Carolina,SC,False,False,81,0.002016,False
41001-polid-1746-county-41012,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45021,Hillary,False,False,False,Clinton,2016-02-28T01:14:14Z,county,True,P,President,Dem,1746,44200,30,100.0,30,county-41012,Cherokee,False,,,South Carolina,SC,False,False,1870,0.778842,True
41001-polid-1445-county-41012,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45021,Bernie,False,False,False,Sanders,2016-02-28T01:14:14Z,county,True,P,President,Dem,1445,44201,30,100.0,30,county-41012,Cherokee,False,,,South Carolina,SC,False,False,514,0.214077,False
41001-polid-64569-county-41012,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45021,Willie,False,False,False,Wilson,2016-02-28T01:14:14Z,county,True,P,President,Dem,64569,44220,30,100.0,30,county-41012,Cherokee,False,,,South Carolina,SC,False,False,10,0.004165,False
41001-polid-22603-county-41012,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45021,Martin,False,False,False,O'Malley,2016-02-28T01:14:14Z,county,True,P,President,Dem,22603,44202,30,100.0,30,county-41012,Cherokee,False,,,South Carolina,SC,False,False,7,0.002915,False
41001-polid-1746-county-41013,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45023,Hillary,False,False,False,Clinton,2016-02-28T01:29:35Z,county,True,P,President,Dem,1746,44200,21,100.0,21,county-41013,Chester,False,,,South Carolina,SC,False,False,1962,0.796266,True
41001-polid-1445-county-41013,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45023,Bernie,False,False,False,Sanders,2016-02-28T01:29:35Z,county,True,P,President,Dem,1445,44201,21,100.0,21,county-41013,Chester,False,,,South Carolina,SC,False,False,492,0.199675,False
41001-polid-22603-county-41013,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45023,Martin,False,False,False,O'Malley,2016-02-28T01:29:35Z,county,True,P,President,Dem,22603,44202,21,100.0,21,county-41013,Chester,False,,,South Carolina,SC,False,False,7,0.002841,False
41001-polid-64569-county-41013,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45023,Willie,False,False,False,Wilson,2016-02-28T01:29:35Z,county,True,P,President,Dem,64569,44220,21,100.0,21,county-41013,Chester,False,,,South Carolina,SC,False,False,3,0.001218,False
41001-polid-1746-county-41014,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45025,Hillary,False,False,False,Clinton,2016-02-28T01:17:18Z,county,True,P,President,Dem,1746,44200,25,100.0,25,county-41014,Chesterfield,False,,,South Carolina,SC,False,False,2209,0.827961,True
41001-polid-1445-county-41014,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45025,Bernie,False,False,False,Sanders,2016-02-28T01:17:18Z,county,True,P,President,Dem,1445,44201,25,100.0,25,county-41014,Chesterfield,False,,,South Carolina,SC,False,False,446,0.167166,False
41001-polid-64569-county-41014,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45025,Willie,False,False,False,Wilson,2016-02-28T01:17:18Z,county,True,P,President,Dem,64569,44220,25,100.0,25,county-41014,Chesterfield,False,,,South Carolina,SC,False,False,8,0.002999,False
41001-polid-22603-county-41014,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45025,Martin,False,False,False,O'Malley,2016-02-28T01:17:18Z,county,True,P,President,Dem,22603,44202,25,100.0,25,county-41014,Chesterfield,False,,,South Carolina,SC,False,False,5,0.001874,False
41001-polid-1746-county-41015,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45027,Hillary,False,False,False,Clinton,2016-02-28T01:32:39Z,county,True,P,President,Dem,1746,44200,25,100.0,25,county-41015,Clarendon,False,,,South Carolina,SC,False,False,3564,0.908488,True
41001-polid-1445-county-41015,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45027,Bernie,False,False,False,Sanders,2016-02-28T01:32:39Z,county,True,P,President,Dem,1445,44201,25,100.0,25,county-41015,Clarendon,False,,,South Carolina,SC,False,False,337,0.085904,False
41001-polid-64569-county-41015,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45027,Willie,False,False,False,Wilson,2016-02-28T01:32:39Z,county,True,P,President,Dem,64569,44220,25,100.0,25,county-41015,Clarendon,False,,,South Carolina,SC,False,False,19,0.004843,False
41001-polid-22603-county-41015,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45027,Martin,False,False,False,O'Malley,2016-02-28T01:32:39Z,county,True,P,President,Dem,22603,44202,25,100.0,25,county-41015,Clarendon,False,,,South Carolina,SC,False,False,3,0.000765,False
41001-polid-1746-county-41016,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45029,Hillary,False,False,False,Clinton,2016-02-28T02:46:22Z,county,True,P,President,Dem,1746,44200,32,100.0,32,county-41016,Colleton,False,,,South Carolina,SC,False,False,2932,0.82545,True
41001-polid-1445-county-41016,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45029,Bernie,False,False,False,Sanders,2016-02-28T02:46:22Z,county,True,P,President,Dem,1445,44201,32,100.0,32,county-41016,Colleton,False,,,South Carolina,SC,False,False,583,0.164133,False
41001-polid-64569-county-41016,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45029,Willie,False,False,False,Wilson,2016-02-28T02:46:22Z,county,True,P,President,Dem,64569,44220,32,100.0,32,county-41016,Colleton,False,,,South Carolina,SC,False,False,25,0.007038,False
41001-polid-22603-county-41016,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45029,Martin,False,False,False,O'Malley,2016-02-28T02:46:22Z,county,True,P,President,Dem,22603,44202,32,100.0,32,county-41016,Colleton,False,,,South Carolina,SC,False,False,12,0.003378,False
41001-polid-1746-county-41017,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45031,Hillary,False,False,False,Clinton,2016-02-28T01:29:35Z,county,True,P,President,Dem,1746,44200,32,100.0,32,county-41017,Darlington,False,,,South Carolina,SC,False,False,4988,0.818779,True
41001-polid-1445-county-41017,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45031,Bernie,False,False,False,Sanders,2016-02-28T01:29:35Z,county,True,P,President,Dem,1445,44201,32,100.0,32,county-41017,Darlington,False,,,South Carolina,SC,False,False,1079,0.177118,False
41001-polid-64569-county-41017,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45031,Willie,False,False,False,Wilson,2016-02-28T01:29:35Z,county,True,P,President,Dem,64569,44220,32,100.0,32,county-41017,Darlington,False,,,South Carolina,SC,False,False,19,0.003119,False
41001-polid-22603-county-41017,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45031,Martin,False,False,False,O'Malley,2016-02-28T01:29:35Z,county,True,P,President,Dem,22603,44202,32,100.0,32,county-41017,Darlington,False,,,South Carolina,SC,False,False,6,0.000985,False
41001-polid-1746-county-41018,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45033,Hillary,False,False,False,Clinton,2016-02-28T01:29:35Z,county,True,P,President,Dem,1746,44200,20,100.0,20,county-41018,Dillon,False,,,South Carolina,SC,False,False,1615,0.840708,True
41001-polid-1445-county-41018,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45033,Bernie,False,False,False,Sanders,2016-02-28T01:29:35Z,county,True,P,President,Dem,1445,44201,20,100.0,20,county-41018,Dillon,False,,,South Carolina,SC,False,False,292,0.152004,False
41001-polid-22603-county-41018,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45033,Martin,False,False,False,O'Malley,2016-02-28T01:29:35Z,county,True,P,President,Dem,22603,44202,20,100.0,20,county-41018,Dillon,False,,,South Carolina,SC,False,False,9,0.004685,False
41001-polid-64569-county-41018,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45033,Willie,False,False,False,Wilson,2016-02-28T01:29:35Z,county,True,P,President,Dem,64569,44220,20,100.0,20,county-41018,Dillon,False,,,South Carolina,SC,False,False,5,0.002603,False
41001-polid-1746-county-41019,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45035,Hillary,False,False,False,Clinton,2016-02-28T01:57:17Z,county,True,P,President,Dem,1746,44200,81,100.0,81,county-41019,Dorchester,False,,,South Carolina,SC,False,False,6920,0.702324,True
41001-polid-1445-county-41019,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45035,Bernie,False,False,False,Sanders,2016-02-28T01:57:17Z,county,True,P,President,Dem,1445,44201,81,100.0,81,county-41019,Dorchester,False,,,South Carolina,SC,False,False,2876,0.291891,False
41001-polid-64569-county-41019,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45035,Willie,False,False,False,Wilson,2016-02-28T01:57:17Z,county,True,P,President,Dem,64569,44220,81,100.0,81,county-41019,Dorchester,False,,,South Carolina,SC,False,False,34,0.003451,False
41001-polid-22603-county-41019,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45035,Martin,False,False,False,O'Malley,2016-02-28T01:57:17Z,county,True,P,President,Dem,22603,44202,81,100.0,81,county-41019,Dorchester,False,,,South Carolina,SC,False,False,23,0.002334,False
41001-polid-1746-county-41020,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45037,Hillary,False,False,False,Clinton,2016-02-28T01:08:05Z,county,True,P,President,Dem,1746,44200,12,100.0,12,county-41020,Edgefield,False,,,South Carolina,SC,False,False,1474,0.81798,True
41001-polid-1445-county-41020,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45037,Bernie,False,False,False,Sanders,2016-02-28T01:08:05Z,county,True,P,President,Dem,1445,44201,12,100.0,12,county-41020,Edgefield,False,,,South Carolina,SC,False,False,301,0.167037,False
41001-polid-64569-county-41020,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45037,Willie,False,False,False,Wilson,2016-02-28T01:08:05Z,county,True,P,President,Dem,64569,44220,12,100.0,12,county-41020,Edgefield,False,,,South Carolina,SC,False,False,23,0.012764,False
41001-polid-22603-county-41020,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45037,Martin,False,False,False,O'Malley,2016-02-28T01:08:05Z,county,True,P,President,Dem,22603,44202,12,100.0,12,county-41020,Edgefield,False,,,South Carolina,SC,False,False,4,0.00222,False
41001-polid-1746-county-41021,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45039,Hillary,False,False,False,Clinton,2016-02-28T01:29:35Z,county,True,P,President,Dem,1746,44200,22,100.0,22,county-41021,Fairfield,False,,,South Carolina,SC,False,False,3260,0.874464,True
41001-polid-1445-county-41021,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45039,Bernie,False,False,False,Sanders,2016-02-28T01:29:35Z,county,True,P,President,Dem,1445,44201,22,100.0,22,county-41021,Fairfield,False,,,South Carolina,SC,False,False,440,0.118026,False
41001-polid-64569-county-41021,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45039,Willie,False,False,False,Wilson,2016-02-28T01:29:35Z,county,True,P,President,Dem,64569,44220,22,100.0,22,county-41021,Fairfield,False,,,South Carolina,SC,False,False,18,0.004828,False
41001-polid-22603-county-41021,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45039,Martin,False,False,False,O'Malley,2016-02-28T01:29:35Z,county,True,P,President,Dem,22603,44202,22,100.0,22,county-41021,Fairfield,False,,,South Carolina,SC,False,False,10,0.002682,False
41001-polid-1746-county-41022,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45041,Hillary,False,False,False,Clinton,2016-02-28T02:21:52Z,county,True,P,President,Dem,1746,44200,63,100.0,63,county-41022,Florence,False,,,South Carolina,SC,False,False,9411,0.780219,True
41001-polid-1445-county-41022,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45041,Bernie,False,False,False,Sanders,2016-02-28T02:21:52Z,county,True,P,President,Dem,1445,44201,63,100.0,63,county-41022,Florence,False,,,South Carolina,SC,False,False,2584,0.214226,False
41001-polid-64569-county-41022,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45041,Willie,False,False,False,Wilson,2016-02-28T02:21:52Z,county,True,P,President,Dem,64569,44220,63,100.0,63,county-41022,Florence,False,,,South Carolina,SC,False,False,50,0.004145,False
41001-polid-22603-county-41022,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45041,Martin,False,False,False,O'Malley,2016-02-28T02:21:52Z,county,True,P,President,Dem,22603,44202,63,100.0,63,county-41022,Florence,False,,,South Carolina,SC,False,False,17,0.001409,False
41001-polid-1746-county-41023,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45043,Hillary,False,False,False,Clinton,2016-02-28T01:51:08Z,county,True,P,President,Dem,1746,44200,34,100.0,34,county-41023,Georgetown,False,,,South Carolina,SC,False,False,4931,0.778374,True
41001-polid-1445-county-41023,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45043,Bernie,False,False,False,Sanders,2016-02-28T01:51:08Z,county,True,P,President,Dem,1445,44201,34,100.0,34,county-41023,Georgetown,False,,,South Carolina,SC,False,False,1346,0.21247,False
41001-polid-64569-county-41023,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45043,Willie,False,False,False,Wilson,2016-02-28T01:51:08Z,county,True,P,President,Dem,64569,44220,34,100.0,34,county-41023,Georgetown,False,,,South Carolina,SC,False,False,48,0.007577,False
41001-polid-22603-county-41023,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45043,Martin,False,False,False,O'Malley,2016-02-28T01:51:08Z,county,True,P,President,Dem,22603,44202,34,100.0,34,county-41023,Georgetown,False,,,South Carolina,SC,False,False,10,0.001579,False
41001-polid-1746-county-41024,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45045,Hillary,False,False,False,Clinton,2016-02-28T06:39:11Z,county,True,P,President,Dem,1746,44200,151,100.0,151,county-41024,Greenville,False,,,South Carolina,SC,False,False,19807,0.640817,True
41001-polid-1445-county-41024,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45045,Bernie,False,False,False,Sanders,2016-02-28T06:39:11Z,county,True,P,President,Dem,1445,44201,151,100.0,151,county-41024,Greenville,False,,,South Carolina,SC,False,False,10965,0.354751,False
41001-polid-64569-county-41024,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45045,Willie,False,False,False,Wilson,2016-02-28T06:39:11Z,county,True,P,President,Dem,64569,44220,151,100.0,151,county-41024,Greenville,False,,,South Carolina,SC,False,False,87,0.002815,False
41001-polid-22603-county-41024,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45045,Martin,False,False,False,O'Malley,2016-02-28T06:39:11Z,county,True,P,President,Dem,22603,44202,151,100.0,151,county-41024,Greenville,False,,,South Carolina,SC,False,False,50,0.001618,False
41001-polid-1746-county-41025,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45047,Hillary,False,False,False,Clinton,2016-02-28T01:29:35Z,county,True,P,President,Dem,1746,44200,49,100.0,49,county-41025,Greenwood,False,,,South Carolina,SC,False,False,3588,0.773609,True
